Rk,PLAYER,SALARY_MILLIONS
1,Russell Westbrook,26.5
2,James Harden,26.5
3,Isaiah Thomas,6.59
4,Anthony Davis,22.12
6,DeMarcus Cousins,16.96
7,Damian Lillard,24.33
8,LeBron James,30.96
9,Kawhi Leonard,17.64
10,Stephen Curry,12.11
11,Kyrie Irving,17.64
12,Kevin Durant,26.5
13,Karl-Anthony Towns,5.96
14,Jimmy Butler,17.55
15,Paul George,18.31
16,Andrew Wiggins,6.01
17,Kemba Walker,12
18,Bradley Beal,22.12
19,John Wall,16.96
21,Giannis Antetokounmpo,3
22,Carmelo Anthony,24.56
24,Klay Thompson,16.66
25,Devin Booker,2.22
26,Gordon Hayward,16.07
27,Blake Griffin,20.14
28,Eric Bledsoe,14
29,Mike Conley,26.54
30,Brook Lopez,21.17
31,Goran Dragic,15.89
32,Joel Embiid,4.83
33,Jabari Parker,5.37
34,Marc Gasol,21.17
36,Kevin Love,21.17
37,Zach LaVine,2.24
38,Rudy Gay,13.33
39,Dwyane Wade,23.2
40,Danilo Gallinari,15.05
41,Paul Millsap,20.07
42,Chris Paul,22.87
43,Kristaps Porzingis,4.32
44,Derrick Rose,21.32
45,Dennis Schroder,2.71
47,LaMarcus Aldridge,20.58
48,Evan Fournier,17
50,George Hill,8
51,Nikola Jokic,1.36
52,Avery Bradley,8.27
53,Eric Gordon,12.39
54,Tobias Harris,17.2
55,Victor Oladipo,6.55
56,Dion Waiters,2.9
57,Wilson Chandler,11.23
58,D'Angelo Russell,5.33
59,Jrue Holiday,11.29
60,Jeff Teague,8.8
61,Nicolas Batum,20.87
63,Gary Harris,1.66
64,Serge Ibaka,12.25
65,Jordan Clarkson,12.5
66,Khris Middleton,15.2
67,Nikola Vucevic,11.75
69,Reggie Jackson,14.96
70,Jeremy Lin,11.48
71,Myles Turner,2.46
73,Enes Kanter,17.15
74,Dirk Nowitzki,25
76,Zach Randolph,10.36
77,Rudy Gobert,2.12
78,Al Horford,26.54
79,Marcus Morris,4.62
80,Markieff Morris,7.4
81,Jae Crowder,6.29
82,Kentavious Caldwell-Pope,3.68
83,Will Barton,3.53
84,Bojan Bogdanovic,3.73
85,Tyler Johnson,5.63
86,Ryan Anderson,18.74
88,Dwight Howard,23.18
89,Wesley Matthews,17.15
91,Darren Collison,5.23
92,Julius Randle,3.27
93,Nick Young,5.44
94,Ersan Ilyasova,8.4
95,Sean Kilpatrick,1.52
98,James Johnson,4
99,Elfrid Payton,2.61
100,Dario Saric,2.32
101,Aaron Gordon,4.35
102,Rodney Hood,1.41
105,Pau Gasol,15.5
106,Jamal Crawford,13.25
107,Austin Rivers,11
108,Jonas Valanciunas,14.38
109,Jahlil Okafor,4.79
110,Trevor Ariza,7.81
111,Frank Kaminsky,2.73
112,Greg Monroe,17.15
113,Steven Adams,3.14
114,Marvin Williams,12.25
115,Ricky Rubio,13.55
116,Jerryd Bayless,9.42
117,Kent Bazemore,15.73
118,Brandon Knight,12.61
119,Emmanuel Mudiay,3.24
120,Terrence Ross,10
122,Thaddeus Young,14.15
123,J.J. Barea,4.1
124,Justise Winslow,2.59
125,Taj Gibson,8.95
126,Marcin Gortat,12
128,Courtney Lee,11.24
129,Allen Crabbe,18.5
132,Buddy Hield,3.52
133,Nikola Mirotic,5.78
134,Marcus Smart,3.58
135,Marco Belinelli,6.33
136,Wayne Ellington,6
137,Robin Lopez,13.22
138,Mason Plumlee,2.33
139,Tyreke Evans,10.2
140,Cody Zeller,5.32
142,Draymond Green,15.33
143,Jon Leuer,10.99
144,Jusuf Nurkic,1.92
145,Josh Richardson,1.47
146,Kyle Korver,5.24
147,Tony Parker,14.45
148,Trevor Booker,9.25
149,Gorgui Dieng,2.35
151,Maurice Harkless,8.99
153,Shabazz Muhammad,3.05
154,Jamal Murray,3.21
156,Jeremy Lamb,6.51
157,Kenneth Faried,12.08
158,E'Twaun Moore,8.08
160,Derrick Favors,11.05
161,Patty Mills,3.58
162,Nik Stauskas,2.99
163,Michael Beasley,1.4
164,Brandon Ingram,5.28
165,Ish Smith,6
166,Cory Joseph,7.32
167,Marquese Chriss,2.94
168,Jeff Green,15
169,Gerald Henderson,9
170,Joe Johnson,11
171,Michael Kidd-Gilchrist,13
172,Jameer Nelson,4.54
173,Tony Allen,5.51
174,Channing Frye,7.81
177,Jodie Meeks,6.54
179,Doug McDermott,2.48
180,Kelly Olynyk,3.09
181,Evan Turner,16.39
182,DeMarre Carroll,14.2
185,Al-Farouq Aminu,7.68
186,Rondae Hollis-Jefferson,1.4
187,Nerlens Noel,4.38
188,Marreese Speights,1.4
190,Monta Ellis,10.76
191,Tony Snell,2.37
192,Arron Afflalo,12.5
193,Tyson Chandler,12.42
195,Troy Daniels,3.33
197,Willy Hernangomez,1.44
198,Caris LeVert,1.56
200,Willie Cauley-Stein,3.55
201,Al Jefferson,10.31
202,Ben McLemore,4.01
203,Tristan Thompson,15.33
204,Vince Carter,4.26
205,Alex Len,4.82
206,D.J. Augustin,7.25
207,Langston Galloway,5.2
